#,CT,T,WTN,WS,TYPE,ST,TT
1,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Pistol round,,
2,FaZe Clan,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Eco,T,Ninjas in Pyjamas
3,FaZe Clan,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Eco,CT,FaZe Clan
4,FaZe Clan,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Eco,CT,FaZe Clan
5,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
6,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
7,FaZe Clan,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Normal,,
8,FaZe Clan,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Eco,CT,FaZe Clan
9,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
10,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
11,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
12,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
13,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
14,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Normal,,
15,FaZe Clan,Ninjas in Pyjamas,FaZe Clan,CT,Force buy,T,Ninjas in Pyjamas
16,Ninjas in Pyjamas,FaZe Clan,FaZe Clan,T,Pistol round,,
17,Ninjas in Pyjamas,FaZe Clan,FaZe Clan,T,Eco,CT,Ninjas in Pyjamas
18,Ninjas in Pyjamas,FaZe Clan,FaZe Clan,T,Normal,,
19,Ninjas in Pyjamas,FaZe Clan,FaZe Clan,T,Eco,CT,Ninjas in Pyjamas
20,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Normal,,
21,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Normal,,
22,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Eco,T,FaZe Clan
23,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Normal,,
24,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Eco,T,FaZe Clan
25,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Normal,,
26,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Normal,,
27,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Normal,,
28,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Eco,T,FaZe Clan
29,Ninjas in Pyjamas,FaZe Clan,FaZe Clan,T,Normal,,
30,Ninjas in Pyjamas,FaZe Clan,Ninjas in Pyjamas,CT,Normal,,
