#,CT,T,WTN,WS,TYPE,ST,TT
1,mibr-,Astralis,mibr-,CT,Pistol round,,
2,mibr-,Astralis,mibr-,CT,Normal,,
3,mibr-,Astralis,mibr-,CT,Eco,T,Astralis
4,mibr-,Astralis,mibr-,CT,Normal,,
5,mibr-,Astralis,mibr-,CT,Eco,T,Astralis
6,mibr-,Astralis,mibr-,CT,Normal,,
7,mibr-,Astralis,Astralis,T,Eco,T,Astralis
8,mibr-,Astralis,Astralis,T,Normal,,
9,mibr-,Astralis,Astralis,T,Normal,,
10,mibr-,Astralis,Astralis,T,Eco,CT,mibr-
11,mibr-,Astralis,mibr-,CT,Normal,,
12,mibr-,Astralis,Astralis,T,Normal,,
13,mibr-,Astralis,Astralis,T,Semi-Eco,CT,mibr-
14,mibr-,Astralis,Astralis,T,Eco,CT,mibr-
15,mibr-,Astralis,Astralis,T,Normal,,
16,Astralis,mibr-,Astralis,CT,Pistol round,,
17,Astralis,mibr-,Astralis,CT,Semi-Eco,T,mibr-
18,Astralis,mibr-,Astralis,CT,Eco,T,mibr-
19,Astralis,mibr-,Astralis,CT,Normal,,
20,Astralis,mibr-,Astralis,CT,Eco,T,mibr-
21,Astralis,mibr-,Astralis,CT,Normal,,
22,Astralis,mibr-,Astralis,CT,Normal,,
23,Astralis,mibr-,Astralis,CT,Normal,,
