#,CT,T,WTN,WS,TYPE,ST,TT
1,Natus Vincere,Astralis,Astralis,T,Pistol round,,
2,Natus Vincere,Astralis,Astralis,T,Force buy,CT,Natus Vincere
3,Natus Vincere,Astralis,Astralis,T,Eco,CT,Natus Vincere
4,Natus Vincere,Astralis,Astralis,T,Normal,,
5,Natus Vincere,Astralis,Astralis,T,Eco,CT,Natus Vincere
6,Natus Vincere,Astralis,Natus Vincere,CT,Normal,,
7,Natus Vincere,Astralis,Astralis,T,Normal,,
8,Natus Vincere,Astralis,Natus Vincere,CT,Force buy,CT,Natus Vincere
9,Natus Vincere,Astralis,Natus Vincere,CT,Force buy,T,Astralis
10,Natus Vincere,Astralis,Natus Vincere,CT,Eco,T,Astralis
11,Natus Vincere,Astralis,Astralis,T,Eco,T,Astralis
12,Natus Vincere,Astralis,Astralis,T,Normal,,
13,Natus Vincere,Astralis,Astralis,T,Semi-Eco,CT,Natus Vincere
14,Natus Vincere,Astralis,Astralis,T,Normal,,
15,Natus Vincere,Astralis,Natus Vincere,CT,Normal,,
16,Astralis,Natus Vincere,Astralis,CT,Pistol round,,
17,Astralis,Natus Vincere,Natus Vincere,T,Force buy,T,Natus Vincere
18,Astralis,Natus Vincere,Natus Vincere,T,Force buy,CT,Astralis
19,Astralis,Natus Vincere,Natus Vincere,T,Eco,CT,Astralis
20,Astralis,Natus Vincere,Astralis,CT,Normal,,
21,Astralis,Natus Vincere,Natus Vincere,T,Normal,,
22,Astralis,Natus Vincere,Astralis,CT,Normal,,
23,Astralis,Natus Vincere,Astralis,CT,Force buy,T,Natus Vincere
24,Astralis,Natus Vincere,Astralis,CT,Eco,T,Natus Vincere
25,Astralis,Natus Vincere,Astralis,CT,Force buy,T,Natus Vincere
