#,CT,T,WTN,WS,TYPE,ST,TT
1,FaZe Clan,Astralis,FaZe Clan,CT,Pistol round,,
2,FaZe Clan,Astralis,FaZe Clan,CT,Eco,T,Astralis
3,FaZe Clan,Astralis,Astralis,T,Normal,,
4,FaZe Clan,Astralis,FaZe Clan,CT,Normal,,
5,FaZe Clan,Astralis,FaZe Clan,CT,Force buy,T,Astralis
6,FaZe Clan,Astralis,FaZe Clan,CT,Eco,T,Astralis
7,FaZe Clan,Astralis,Astralis,T,Normal,,
8,FaZe Clan,Astralis,FaZe Clan,CT,Normal,,
9,FaZe Clan,Astralis,FaZe Clan,CT,Eco,T,Astralis
10,FaZe Clan,Astralis,FaZe Clan,CT,Eco,T,Astralis
11,FaZe Clan,Astralis,Astralis,T,Normal,,
12,FaZe Clan,Astralis,FaZe Clan,CT,Normal,,
13,FaZe Clan,Astralis,FaZe Clan,CT,Force buy,T,Astralis
14,FaZe Clan,Astralis,Astralis,T,Semi-Eco,T,Astralis
15,FaZe Clan,Astralis,Astralis,T,Normal,,
16,Astralis,FaZe Clan,Astralis,CT,Pistol round,,
17,Astralis,FaZe Clan,Astralis,CT,Eco,T,FaZe Clan
18,Astralis,FaZe Clan,Astralis,CT,Normal,,
19,Astralis,FaZe Clan,Astralis,CT,Eco,T,FaZe Clan
20,Astralis,FaZe Clan,Astralis,CT,Normal,,
21,Astralis,FaZe Clan,Astralis,CT,Eco,T,FaZe Clan
22,Astralis,FaZe Clan,Astralis,CT,Force buy,T,FaZe Clan
23,Astralis,FaZe Clan,Astralis,CT,Normal,,
24,Astralis,FaZe Clan,Astralis,CT,Semi-Eco,T,FaZe Clan
25,Astralis,FaZe Clan,FaZe Clan,T,Normal,,
26,Astralis,FaZe Clan,Astralis,CT,Normal,,
27,Astralis,FaZe Clan,FaZe Clan,T,Semi-Eco,T,FaZe Clan
28,Astralis,FaZe Clan,Astralis,CT,Normal,,
