#,CT,T,WTN,WS,TYPE,ST,TT
1,Cloud9,Winstrike Team,Cloud9,CT,Pistol round,,
2,Cloud9,Winstrike Team,Cloud9,CT,Eco,T,Winstrike Team
3,Cloud9,Winstrike Team,Winstrike Team,T,Normal,,
4,Cloud9,Winstrike Team,Cloud9,CT,Normal,,
5,Cloud9,Winstrike Team,Cloud9,CT,Eco,T,Winstrike Team
6,Cloud9,Winstrike Team,Cloud9,CT,Normal,,
7,Cloud9,Winstrike Team,Cloud9,CT,Eco,T,Winstrike Team
8,Cloud9,Winstrike Team,Cloud9,CT,Normal,,
9,Cloud9,Winstrike Team,Cloud9,CT,Normal,,
10,Cloud9,Winstrike Team,Cloud9,CT,Eco,T,Winstrike Team
11,Cloud9,Winstrike Team,Cloud9,CT,Normal,,
12,Cloud9,Winstrike Team,Cloud9,CT,Eco,T,Winstrike Team
13,Cloud9,Winstrike Team,Winstrike Team,T,Normal,,
14,Cloud9,Winstrike Team,Winstrike Team,T,Normal,,
15,Cloud9,Winstrike Team,Cloud9,CT,Normal,,
16,Winstrike Team,Cloud9,Cloud9,T,Pistol round,,
17,Winstrike Team,Cloud9,Winstrike Team,CT,Semi-Eco,CT,Winstrike Team
18,Winstrike Team,Cloud9,Winstrike Team,CT,Eco,T,Cloud9
19,Winstrike Team,Cloud9,Winstrike Team,CT,Eco,T,Cloud9
20,Winstrike Team,Cloud9,Cloud9,T,Normal,,
21,Winstrike Team,Cloud9,Winstrike Team,CT,Normal,,
22,Winstrike Team,Cloud9,Winstrike Team,CT,Eco,T,Cloud9
23,Winstrike Team,Cloud9,Winstrike Team,CT,Eco,T,Cloud9
24,Winstrike Team,Cloud9,Winstrike Team,CT,Normal,,
25,Winstrike Team,Cloud9,Winstrike Team,CT,Normal,,
26,Winstrike Team,Cloud9,Winstrike Team,CT,Eco,T,Cloud9
27,Winstrike Team,Cloud9,Winstrike Team,CT,Normal,,
28,Winstrike Team,Cloud9,Winstrike Team,CT,Eco,T,Cloud9
29,Winstrike Team,Cloud9,Cloud9,T,Normal,,
30,Winstrike Team,Cloud9,Winstrike Team,CT,Normal,,
31,Winstrike Team,Cloud9,Cloud9,T,Normal,,
32,Winstrike Team,Cloud9,Cloud9,T,Normal,,
33,Winstrike Team,Cloud9,Cloud9,T,Force buy,CT,Winstrike Team
34,Cloud9,Winstrike Team,Winstrike Team,T,Normal,,
35,Cloud9,Winstrike Team,Cloud9,CT,Normal,,
