#,CT,T,WTN,WS,TYPE,ST,TT
1,Fnatic,Winstrike Team,Fnatic,CT,Pistol round,,
2,Fnatic,Winstrike Team,Fnatic,CT,Semi-Eco,T,Winstrike Team
3,Fnatic,Winstrike Team,Fnatic,CT,Eco,T,Winstrike Team
4,Fnatic,Winstrike Team,Fnatic,CT,Normal,,
5,Fnatic,Winstrike Team,Winstrike Team,T,Eco,T,Winstrike Team
6,Fnatic,Winstrike Team,Winstrike Team,T,Normal,,
7,Fnatic,Winstrike Team,Winstrike Team,T,Semi-Eco,CT,Fnatic
8,Fnatic,Winstrike Team,Fnatic,CT,Normal,,
9,Fnatic,Winstrike Team,Fnatic,CT,Normal,,
10,Fnatic,Winstrike Team,Fnatic,CT,Normal,,
11,Fnatic,Winstrike Team,Winstrike Team,T,Eco,T,Winstrike Team
12,Fnatic,Winstrike Team,Winstrike Team,T,Semi-Eco,CT,Fnatic
13,Fnatic,Winstrike Team,Winstrike Team,T,Eco,CT,Fnatic
14,Fnatic,Winstrike Team,Fnatic,CT,Normal,,
15,Fnatic,Winstrike Team,Winstrike Team,T,Normal,,
16,Winstrike Team,Fnatic,Fnatic,T,Pistol round,,
17,Winstrike Team,Fnatic,Fnatic,T,Semi-Eco,CT,Winstrike Team
18,Winstrike Team,Fnatic,Fnatic,T,Eco,CT,Winstrike Team
19,Winstrike Team,Fnatic,Fnatic,T,Normal,,
20,Winstrike Team,Fnatic,Fnatic,T,Eco,CT,Winstrike Team
21,Winstrike Team,Fnatic,Fnatic,T,Normal,,
22,Winstrike Team,Fnatic,Fnatic,T,Eco,CT,Winstrike Team
23,Winstrike Team,Fnatic,Fnatic,T,Normal,,
