#,CT,T,WTN,WS,TYPE,ST,TT
1,MIBR,compLexity Gaming,MIBR,CT,Pistol round,,
2,MIBR,compLexity Gaming,MIBR,CT,Eco,T,compLexity Gaming
3,MIBR,compLexity Gaming,MIBR,CT,Eco,T,compLexity Gaming
4,MIBR,compLexity Gaming,compLexity Gaming,T,Normal,,
5,MIBR,compLexity Gaming,compLexity Gaming,T,Normal,,
6,MIBR,compLexity Gaming,compLexity Gaming,T,Eco,CT,MIBR
7,MIBR,compLexity Gaming,compLexity Gaming,T,Normal,,
8,MIBR,compLexity Gaming,compLexity Gaming,T,Semi-Eco,CT,MIBR
9,MIBR,compLexity Gaming,MIBR,CT,Normal,,
10,MIBR,compLexity Gaming,compLexity Gaming,T,Normal,,
11,MIBR,compLexity Gaming,compLexity Gaming,T,Normal,,
12,MIBR,compLexity Gaming,MIBR,CT,Normal,,
13,MIBR,compLexity Gaming,MIBR,CT,Normal,,
14,MIBR,compLexity Gaming,MIBR,CT,Eco,T,compLexity Gaming
15,MIBR,compLexity Gaming,compLexity Gaming,T,Normal,,
16,compLexity Gaming,MIBR,MIBR,T,Pistol round,,
17,compLexity Gaming,MIBR,compLexity Gaming,CT,Eco,CT,compLexity Gaming
18,compLexity Gaming,MIBR,compLexity Gaming,CT,Eco,T,MIBR
19,compLexity Gaming,MIBR,compLexity Gaming,CT,Eco,T,MIBR
20,compLexity Gaming,MIBR,MIBR,T,Normal,,
21,compLexity Gaming,MIBR,MIBR,T,Normal,,
22,compLexity Gaming,MIBR,compLexity Gaming,CT,Normal,,
23,compLexity Gaming,MIBR,MIBR,T,Eco,T,MIBR
24,compLexity Gaming,MIBR,MIBR,T,Normal,,
25,compLexity Gaming,MIBR,MIBR,T,Semi-Eco,CT,compLexity Gaming
26,compLexity Gaming,MIBR,MIBR,T,Normal,,
27,compLexity Gaming,MIBR,MIBR,T,Eco,CT,compLexity Gaming
28,compLexity Gaming,MIBR,MIBR,T,Normal,,
