#,CT,T,WTN,WS,TYPE,ST,TT
1,Ninjas in Pyjamas,mibr-,mibr-,T,Pistol round,,
2,Ninjas in Pyjamas,mibr-,mibr-,T,Eco,CT,Ninjas in Pyjamas
3,Ninjas in Pyjamas,mibr-,mibr-,T,Normal,,
4,Ninjas in Pyjamas,mibr-,mibr-,T,Normal,,
5,Ninjas in Pyjamas,mibr-,mibr-,T,Normal,,
6,Ninjas in Pyjamas,mibr-,mibr-,T,Normal,,
7,Ninjas in Pyjamas,mibr-,mibr-,T,Eco,CT,Ninjas in Pyjamas
8,Ninjas in Pyjamas,mibr-,Ninjas in Pyjamas,CT,Normal,,
9,Ninjas in Pyjamas,mibr-,Ninjas in Pyjamas,CT,Normal,,
10,Ninjas in Pyjamas,mibr-,Ninjas in Pyjamas,CT,Normal,,
11,Ninjas in Pyjamas,mibr-,mibr-,T,Eco,T,mibr-
12,Ninjas in Pyjamas,mibr-,mibr-,T,Normal,,
13,Ninjas in Pyjamas,mibr-,mibr-,T,Eco,CT,Ninjas in Pyjamas
14,Ninjas in Pyjamas,mibr-,Ninjas in Pyjamas,CT,Normal,,
15,Ninjas in Pyjamas,mibr-,mibr-,T,Normal,,
16,mibr-,Ninjas in Pyjamas,mibr-,CT,Pistol round,,
17,mibr-,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Normal,,
18,mibr-,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Eco,CT,mibr-
19,mibr-,Ninjas in Pyjamas,mibr-,CT,Eco,CT,mibr-
20,mibr-,Ninjas in Pyjamas,mibr-,CT,Force buy,T,Ninjas in Pyjamas
21,mibr-,Ninjas in Pyjamas,mibr-,CT,Eco,T,Ninjas in Pyjamas
22,mibr-,Ninjas in Pyjamas,mibr-,CT,Semi-Eco,T,Ninjas in Pyjamas
