#,CT,T,WTN,WS,TYPE,ST,TT
1,mibr-,Cloud9,mibr-,CT,Pistol round,,
2,mibr-,Cloud9,mibr-,CT,Eco,T,Cloud9
3,mibr-,Cloud9,Cloud9,T,Normal,,
4,mibr-,Cloud9,Cloud9,T,Normal,,
5,mibr-,Cloud9,Cloud9,T,Eco,CT,mibr-
6,mibr-,Cloud9,mibr-,CT,Normal,,
7,mibr-,Cloud9,mibr-,CT,Eco,T,Cloud9
8,mibr-,Cloud9,Cloud9,T,Normal,,
9,mibr-,Cloud9,mibr-,CT,Normal,,
10,mibr-,Cloud9,mibr-,CT,Semi-Eco,T,Cloud9
11,mibr-,Cloud9,mibr-,CT,Eco,T,Cloud9
12,mibr-,Cloud9,mibr-,CT,Normal,,
13,mibr-,Cloud9,mibr-,CT,Normal,,
14,mibr-,Cloud9,Cloud9,T,Semi-Eco,T,Cloud9
15,mibr-,Cloud9,Cloud9,T,Normal,,
16,Cloud9,mibr-,mibr-,T,Pistol round,,
17,Cloud9,mibr-,mibr-,T,Eco,CT,Cloud9
18,Cloud9,mibr-,mibr-,T,Normal,,
19,Cloud9,mibr-,Cloud9,CT,Eco,CT,Cloud9
20,Cloud9,mibr-,Cloud9,CT,Normal,,
21,Cloud9,mibr-,Cloud9,CT,Eco,T,mibr-
22,Cloud9,mibr-,Cloud9,CT,Normal,,
23,Cloud9,mibr-,Cloud9,CT,Eco,T,mibr-
24,Cloud9,mibr-,Cloud9,CT,Normal,,
25,Cloud9,mibr-,mibr-,T,Normal,,
26,Cloud9,mibr-,Cloud9,CT,Normal,,
27,Cloud9,mibr-,Cloud9,CT,Eco,T,mibr-
28,Cloud9,mibr-,mibr-,T,Normal,,
29,Cloud9,mibr-,Cloud9,CT,Normal,,
30,Cloud9,mibr-,Cloud9,CT,Semi-Eco,T,mibr-
