#,CT,T,WTN,WS,TYPE,ST,TT
1,mibr-,Natus Vincere,Natus Vincere,T,Pistol round,,
2,mibr-,Natus Vincere,Natus Vincere,T,Semi-Eco,CT,mibr-
3,mibr-,Natus Vincere,Natus Vincere,T,Eco,CT,mibr-
4,mibr-,Natus Vincere,Natus Vincere,T,Normal,,
5,mibr-,Natus Vincere,Natus Vincere,T,Eco,CT,mibr-
6,mibr-,Natus Vincere,Natus Vincere,T,Normal,,
7,mibr-,Natus Vincere,Natus Vincere,T,Eco,CT,mibr-
8,mibr-,Natus Vincere,mibr-,CT,Normal,,
9,mibr-,Natus Vincere,Natus Vincere,T,Normal,,
10,mibr-,Natus Vincere,Natus Vincere,T,Eco,CT,mibr-
11,mibr-,Natus Vincere,mibr-,CT,Semi-Eco,CT,mibr-
12,mibr-,Natus Vincere,Natus Vincere,T,Normal,,
13,mibr-,Natus Vincere,Natus Vincere,T,Normal,,
14,mibr-,Natus Vincere,Natus Vincere,T,Eco,CT,mibr-
15,mibr-,Natus Vincere,Natus Vincere,T,Normal,,
16,Natus Vincere,mibr-,Natus Vincere,CT,Pistol round,,
17,Natus Vincere,mibr-,Natus Vincere,CT,Normal,,
18,Natus Vincere,mibr-,Natus Vincere,CT,Semi-Eco,T,mibr-
