#,CT,T,WTN,WS,TYPE,ST,TT
1,Fnatic,HellRaisers,HellRaisers,T,Pistol round,,
2,Fnatic,HellRaisers,HellRaisers,T,Eco,CT,Fnatic
3,Fnatic,HellRaisers,HellRaisers,T,Eco,CT,Fnatic
4,Fnatic,HellRaisers,HellRaisers,T,Normal,,
5,Fnatic,HellRaisers,HellRaisers,T,Eco,CT,Fnatic
6,Fnatic,HellRaisers,Fnatic,CT,Normal,,
7,Fnatic,HellRaisers,HellRaisers,T,Normal,,
8,Fnatic,HellRaisers,HellRaisers,T,Normal,,
9,Fnatic,HellRaisers,HellRaisers,T,Force buy,CT,Fnatic
10,Fnatic,HellRaisers,HellRaisers,T,Normal,,
11,Fnatic,HellRaisers,Fnatic,CT,Eco,CT,Fnatic
12,Fnatic,HellRaisers,Fnatic,CT,Normal,,
13,Fnatic,HellRaisers,HellRaisers,T,Normal,,
14,Fnatic,HellRaisers,HellRaisers,T,Semi-Eco,CT,Fnatic
15,Fnatic,HellRaisers,Fnatic,CT,Force buy,CT,Fnatic
16,HellRaisers,Fnatic,Fnatic,T,Pistol round,,
17,HellRaisers,Fnatic,HellRaisers,CT,Eco,CT,HellRaisers
18,HellRaisers,Fnatic,HellRaisers,CT,Semi-Eco,T,Fnatic
19,HellRaisers,Fnatic,HellRaisers,CT,Eco,T,Fnatic
20,HellRaisers,Fnatic,Fnatic,T,Normal,,
21,HellRaisers,Fnatic,Fnatic,T,Eco,CT,HellRaisers
22,HellRaisers,Fnatic,Fnatic,T,Eco,CT,HellRaisers
23,HellRaisers,Fnatic,Fnatic,T,Normal,,
24,HellRaisers,Fnatic,Fnatic,T,Force buy,CT,HellRaisers
25,HellRaisers,Fnatic,Fnatic,T,Normal,,
26,HellRaisers,Fnatic,Fnatic,T,Force buy,CT,HellRaisers
27,HellRaisers,Fnatic,HellRaisers,CT,Normal,,
28,HellRaisers,Fnatic,Fnatic,T,Normal,,
29,HellRaisers,Fnatic,Fnatic,T,Eco,CT,HellRaisers
30,HellRaisers,Fnatic,Fnatic,T,Normal,,
31,HellRaisers,Fnatic,HellRaisers,CT,Normal,,
32,HellRaisers,Fnatic,Fnatic,T,Normal,,
33,HellRaisers,Fnatic,Fnatic,T,Normal,,
34,Fnatic,HellRaisers,HellRaisers,T,Normal,,
35,Fnatic,HellRaisers,Fnatic,CT,Normal,,
36,Fnatic,HellRaisers,Fnatic,CT,Normal,,
