#,CT,T,WTN,WS,TYPE,ST,TT
1,Ninjas in Pyjamas,Team Liquid,Team Liquid,T,Pistol round,,
2,Ninjas in Pyjamas,Team Liquid,Team Liquid,T,Semi-Eco,CT,Ninjas in Pyjamas
3,Ninjas in Pyjamas,Team Liquid,Team Liquid,T,Eco,CT,Ninjas in Pyjamas
4,Ninjas in Pyjamas,Team Liquid,Team Liquid,T,Normal,,
5,Ninjas in Pyjamas,Team Liquid,Team Liquid,T,Force buy,CT,Ninjas in Pyjamas
6,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Normal,,
7,Ninjas in Pyjamas,Team Liquid,Team Liquid,T,Normal,,
8,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Normal,,
9,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Normal,,
10,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Normal,,
11,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Eco,T,Team Liquid
12,Ninjas in Pyjamas,Team Liquid,Team Liquid,T,Normal,,
13,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Normal,,
14,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Eco,T,Team Liquid
15,Ninjas in Pyjamas,Team Liquid,Ninjas in Pyjamas,CT,Normal,,
16,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Pistol round,,
17,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Eco,T,Ninjas in Pyjamas
18,Team Liquid,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Normal,,
19,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Normal,,
20,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Normal,,
21,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Eco,T,Ninjas in Pyjamas
22,Team Liquid,Ninjas in Pyjamas,Ninjas in Pyjamas,T,Normal,,
23,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Normal,,
24,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Normal,,
25,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Force buy,T,Ninjas in Pyjamas
26,Team Liquid,Ninjas in Pyjamas,Team Liquid,CT,Eco,T,Ninjas in Pyjamas
