#,CT,T,WTN,WS,TYPE,ST,TT
1,HellRaisers,Team Liquid,Team Liquid,T,Pistol round,,
2,HellRaisers,Team Liquid,Team Liquid,T,Eco,CT,HellRaisers
3,HellRaisers,Team Liquid,Team Liquid,T,Eco,CT,HellRaisers
4,HellRaisers,Team Liquid,Team Liquid,T,Normal,,
5,HellRaisers,Team Liquid,Team Liquid,T,Eco,CT,HellRaisers
6,HellRaisers,Team Liquid,Team Liquid,T,Normal,,
7,HellRaisers,Team Liquid,Team Liquid,T,Semi-Eco,CT,HellRaisers
8,HellRaisers,Team Liquid,HellRaisers,CT,Normal,,
9,HellRaisers,Team Liquid,Team Liquid,T,Normal,,
10,HellRaisers,Team Liquid,Team Liquid,T,Eco,CT,HellRaisers
11,HellRaisers,Team Liquid,Team Liquid,T,Eco,CT,HellRaisers
12,HellRaisers,Team Liquid,Team Liquid,T,Normal,,
13,HellRaisers,Team Liquid,Team Liquid,T,Eco,CT,HellRaisers
14,HellRaisers,Team Liquid,HellRaisers,CT,Normal,,
15,HellRaisers,Team Liquid,HellRaisers,CT,Normal,,
16,Team Liquid,HellRaisers,HellRaisers,T,Pistol round,,
17,Team Liquid,HellRaisers,HellRaisers,T,Eco,CT,Team Liquid
18,Team Liquid,HellRaisers,HellRaisers,T,Eco,CT,Team Liquid
19,Team Liquid,HellRaisers,Team Liquid,CT,Normal,,
20,Team Liquid,HellRaisers,HellRaisers,T,Normal,,
21,Team Liquid,HellRaisers,Team Liquid,CT,Normal,,
22,Team Liquid,HellRaisers,Team Liquid,CT,Force buy,T,HellRaisers
23,Team Liquid,HellRaisers,HellRaisers,T,Eco,T,HellRaisers
24,Team Liquid,HellRaisers,HellRaisers,T,Normal,,
25,Team Liquid,HellRaisers,HellRaisers,T,Eco,CT,Team Liquid
26,Team Liquid,HellRaisers,Team Liquid,CT,Normal,,
