#,CT,T,WTN,WS,TYPE,ST,TT
1,mousesports,FaZe Clan,mousesports,CT,Pistol round,,
2,mousesports,FaZe Clan,mousesports,CT,Eco,T,FaZe Clan
3,mousesports,FaZe Clan,mousesports,CT,Eco,T,FaZe Clan
4,mousesports,FaZe Clan,FaZe Clan,T,Normal,,
5,mousesports,FaZe Clan,FaZe Clan,T,Normal,,
6,mousesports,FaZe Clan,FaZe Clan,T,Normal,,
7,mousesports,FaZe Clan,FaZe Clan,T,Eco,CT,mousesports
8,mousesports,FaZe Clan,mousesports,CT,Normal,,
9,mousesports,FaZe Clan,FaZe Clan,T,Normal,,
10,mousesports,FaZe Clan,FaZe Clan,T,Eco,CT,mousesports
11,mousesports,FaZe Clan,FaZe Clan,T,Normal,,
12,mousesports,FaZe Clan,FaZe Clan,T,Eco,CT,mousesports
13,mousesports,FaZe Clan,mousesports,CT,Normal,,
14,mousesports,FaZe Clan,FaZe Clan,T,Normal,,
15,mousesports,FaZe Clan,FaZe Clan,T,Semi-Eco,CT,mousesports
16,FaZe Clan,mousesports,FaZe Clan,CT,Pistol round,,
17,FaZe Clan,mousesports,mousesports,T,Normal,,
18,FaZe Clan,mousesports,mousesports,T,Semi-Eco,CT,FaZe Clan
19,FaZe Clan,mousesports,mousesports,T,Eco,CT,FaZe Clan
20,FaZe Clan,mousesports,FaZe Clan,CT,Normal,,
21,FaZe Clan,mousesports,FaZe Clan,CT,Normal,,
22,FaZe Clan,mousesports,FaZe Clan,CT,Semi-Eco,T,mousesports
23,FaZe Clan,mousesports,FaZe Clan,CT,Force buy,T,mousesports
24,FaZe Clan,mousesports,FaZe Clan,CT,Semi-Eco,T,mousesports
